project_id,technology,sector,lcoa_usd_per_tco2,annual_abatement_potential,lifetime_abatement_potential,total_capex_required,deployment_units,unit_definition,net_negative_cost,payback_period_years,roi_percent,technology_readiness,cumulative_abatement,rank
LED_001,LED Lighting,Buildings,-59.23961253388486,4610.325,46103.25,1383097.5,9220.65,fixture,True,3.0,233.33333333333334,10,4610.325,1
HVAC_001,HVAC Efficiency,Buildings,-22.777927033515436,2000.0,30000.0,1500000.0,100.0,system,True,7.5,100.0,9,6610.325,2
INSULATION_001,Building Insulation,Buildings,-12.81544302314851,41.66822666666666,833.3645333333333,41668.22666666666,833.3645333333334,sqm,True,10.0,100.0,10,6651.9932266666665,3
WHR_001,Waste Heat Recovery,Industry,-8.518618022343631,200.0,3000.0,100000.0,4.000000000000001,system,True,8.333333333333334,80.0,8,6851.9932266666665,4
SOLAR_001,Solar PV,Energy,-2.462891371841648,25407.827999999994,635195.6999999998,35288650.0,14115.460000000001,kW,True,12.5,100.0,10,32259.82122666666,5
MOTORS_001,Efficient Motors,Industry,-1.2049510322271808,120.0,1440.0,200000.0,40.0,motor,True,8.333333333333334,44.0,10,32379.82122666666,6
HEATPUMP_001,Heat Pumps,Buildings,3.9503519404169833,1200.0,18000.0,1600000.0,200.0,unit,False,10.0,50.0,9,33579.82122666666,7
CCUS_001,Carbon Capture,Industry,93.59227848842573,2000.0,40000.0,1000000.0,2000.0,tCO2/year,False,inf,-300.0,6,35579.82122666666,8
BATTERY_001,Battery Storage,Energy,428.98122192102363,300.0,3000.0,800000.0,1000.0,kWh,False,inf,-125.0,8,35879.82122666666,9
EV_001,Electric Vehicles,Transport,2054.8038709257357,2497.95,19983.6,24979500.0,555.1000000000001,vehicle,False,inf,-135.55555555555557,9,38377.77122666666,10
